id,placed_at,starts_at,sport,event,event_id,bet_id,market,selection,odds_nike,odds_close,p_est_low,p_est_high,edge,ev,stake,confidence,factors,note,result,pnl,settled_at
1,2026-09-14T20:36:24+02:00,2026-09-14T23:40,tennis,Ovcharenko E./Pigossi L. vs Stoiana M./Valdmannova V.,1017767086,931898148,Víťaz zápasu,Stoiana M./Valdmannova V.,1.57,,0.7653,0.7960999999999999,0.12835732484076434,0.20152100000000006,0.0,medium,exchange-consensus,spread 0.0308; fair 0.7807,,,
2,2026-09-14T20:36:24+02:00,2026-09-15T21:00,tennis,Leme Da Silva N.V. vs Sharma A.,1017765534,931646367,Víťaz zápasu,Sharma A.,2.02,,0.46690000000000004,0.5669000000000001,-0.028149504950495008,-0.05686199999999997,0.0,low,exchange-consensus,spread 0.1000; fair 0.5169,,,
3,2026-09-14T20:36:24+02:00,2026-09-14T22:30,tennis,Riera J. vs Avanesyan E.,1017765536,931646855,Víťaz zápasu,Avanesyan E.,1.76,,0.55805,0.5841500000000001,-0.010131818181818186,-0.01783199999999996,0.0,high,exchange-consensus,spread 0.0261; fair 0.5711,,,
4,2026-09-14T20:36:24+02:00,2026-09-14T22:00,tennis,Shelbayh A. vs Zink T.,1017779141,931779269,Víťaz zápasu,Zink T.,2.7,,0.35155,0.38365,-0.018820370370370376,-0.050815000000000055,0.0,medium,exchange-consensus,spread 0.0321; fair 0.3676,,,
5,2026-09-14T20:36:24+02:00,2026-09-15T21:00,tennis,Stoiana M. vs Liu Cl.,1017765539,931647529,Víťaz zápasu,Stoiana M.,2.11,,0.453,0.4764,-0.02093364928909952,-0.04417000000000004,0.0,high,exchange-consensus,spread 0.0234; fair 0.4647,,,
6,2026-09-14T20:36:24+02:00,2026-09-15T02:30,tennis,Jacquemot E. vs Samsonova Liudmila,1017747003,931510537,Víťaz zápasu,Samsonova Liudmila,1.23,,0.78225,0.82075,-0.030758130081300794,-0.03783250000000005,0.0,medium,exchange-consensus,spread 0.0385; fair 0.8015,,,
7,2026-09-14T20:36:24+02:00,2026-09-15T15:40,tennis,Cadenasso G. vs Forti F.,1017763922,931626540,Víťaz zápasu,Cadenasso G.,2.2,,0.42605,0.45435,-0.028495454545454546,-0.06268999999999991,0.0,high,exchange-consensus,spread 0.0283; fair 0.4402,,,
8,2026-09-14T20:36:24+02:00,2026-09-14T22:30,tennis,Bouzas Maneiro J. vs Salkova D.,1017765530,931645865,Víťaz zápasu,Bouzas Maneiro J.,1.3,,0.73465,0.7745500000000001,-0.03458076923076914,-0.04495499999999997,0.0,medium,exchange-consensus,spread 0.0399; fair 0.7546,,,
9,2026-09-14T20:36:24+02:00,2026-09-14T23:00,tennis,Panova A./Sorribes Tormo S. vs Gleason Q./Piter K.,1017733652,932067604,Víťaz zápasu,Gleason Q./Piter K.,1.97,,0.4434,0.536,-0.0642142131979695,-0.126502,0.0,low,exchange-consensus,spread 0.0926; fair 0.4897,,,
10,2026-09-14T20:36:24+02:00,2026-09-15T21:00,tennis,Valdmannova V. vs Pigossi L.,1017765540,931647370,Víťaz zápasu,Valdmannova V.,1.25,,0.7653,0.7960999999999999,-0.034700000000000064,-0.04337500000000005,0.0,medium,exchange-consensus,spread 0.0308; fair 0.7807,,,
