id,bet_ref,taken_at,odds,source
1,1,2026-09-14T20:36:24+02:00,1.57,nike
2,2,2026-09-14T20:36:24+02:00,2.02,nike
3,3,2026-09-14T20:36:24+02:00,1.76,nike
4,4,2026-09-14T20:36:24+02:00,2.7,nike
5,5,2026-09-14T20:36:24+02:00,2.11,nike
6,6,2026-09-14T20:36:24+02:00,1.23,nike
7,7,2026-09-14T20:36:24+02:00,2.2,nike
8,8,2026-09-14T20:36:24+02:00,1.3,nike
9,9,2026-09-14T20:36:24+02:00,1.97,nike
10,10,2026-09-14T20:36:24+02:00,1.25,nike
11,11,2026-09-14T20:36:24+02:00,1.17,nike
12,12,2026-09-14T20:36:24+02:00,1.45,nike
13,13,2026-09-14T20:36:24+02:00,3.4,nike
14,14,2026-09-14T20:36:24+02:00,1.88,nike
15,15,2026-09-14T20:36:24+02:00,1.72,nike
16,16,2026-09-14T20:36:24+02:00,8.0,nike
17,17,2026-09-14T20:36:24+02:00,5.2,nike
18,18,2026-09-14T20:36:24+02:00,1.08,nike
19,19,2026-09-14T20:36:24+02:00,8.6,nike
20,20,2026-09-14T20:36:24+02:00,1.93,nike
21,21,2026-09-14T20:36:24+02:00,2.75,nike
22,22,2026-09-14T20:36:24+02:00,1.32,nike
23,23,2026-09-14T20:36:24+02:00,4.0,nike
24,24,2026-09-14T20:36:24+02:00,3.6,nike
25,25,2026-09-14T20:36:24+02:00,2.75,nike
26,26,2026-09-14T20:36:24+02:00,2.33,nike
27,27,2026-09-14T20:36:24+02:00,1.47,nike
28,28,2026-09-14T20:36:24+02:00,3.95,nike
29,29,2026-09-14T20:36:24+02:00,1.4,nike
30,30,2026-09-14T20:36:24+02:00,1.74,nike
31,31,2026-09-14T20:36:24+02:00,4.2,nike
32,32,2026-09-14T20:36:24+02:00,1.21,nike
33,33,2026-09-14T20:36:24+02:00,1.8,nike
34,34,2026-09-14T20:36:24+02:00,1.9,nike
35,35,2026-09-14T20:36:24+02:00,1.18,nike
36,36,2026-09-14T20:36:24+02:00,4.2,nike
37,37,2026-09-14T20:36:24+02:00,2.5,nike
38,38,2026-09-14T20:36:24+02:00,1.53,nike
39,39,2026-09-14T20:36:24+02:00,1.4,nike
40,40,2026-09-14T20:36:24+02:00,1.04,nike
41,41,2026-09-14T20:36:24+02:00,2.08,nike
42,42,2026-09-14T20:36:24+02:00,2.0,nike
43,43,2026-09-14T20:36:24+02:00,2.6,nike
44,44,2026-09-14T20:36:24+02:00,1.75,nike
45,45,2026-09-14T20:36:24+02:00,1.6,nike
46,46,2026-09-14T20:36:24+02:00,1.8,nike
47,47,2026-09-14T20:36:24+02:00,1.41,nike
48,48,2026-09-14T20:36:24+02:00,2.26,nike
49,49,2026-09-14T20:36:35+02:00,3.15,nike
50,50,2026-09-14T20:36:35+02:00,1.61,nike
51,51,2026-09-14T20:36:35+02:00,2.18,nike
52,52,2026-09-14T20:36:35+02:00,1.31,nike
